Ref,Val,Package,PosX,PosY,Rot,Side
"D1","SK6812MINI","LED_SK6812MINI_PLCC4_3.5x3.5mm_P1.75mm",111.918750,-23.812500,90.000000,top
"SW0","RotaryEncoder_Switch","RotaryEncoder_Alps_EC11E-Switch_Vertical_H20mm",90.381250,-49.887500,0.000000,top
"SW4","SW_Push","SW_Cherry_MX_1.00u_PCB",57.308750,-25.876250,0.000000,top
"SW5","SW_Push","SW_Cherry_MX_1.00u_PCB",38.258750,-44.926250,0.000000,top
"SW6","SW_Push","SW_Cherry_MX_1.00u_PCB",76.358750,-25.876250,0.000000,top
"SW7","SW_Push","SW_Cherry_MX_1.00u_PCB",57.308750,-44.926250,0.000000,top
"SW8","SW_Push","SW_Cherry_MX_1.00u_PCB",38.258750,-25.876250,0.000000,top
"SW9","SW_Push","SW_Cherry_MX_1.00u_PCB",76.358750,-44.926250,0.000000,top
"U1","XIAO-RP2040-DIP","XIAO-RP2040-DIP",97.631250,-30.956250,0.000000,top
